gOTU,mean_abundance,occurrence,Unnamed: 0,Domain,Phylum,Class,Order,Family,Genus,Species,Strain,predicted_occurrence,lower_conf_int,upper_conf_int
G000447675,2.4715050011630613e-05,0.3333333333333333,3387,k__Bacteria,p__Spirochaetes,c__Spirochaetia,o__Spirochaetales,f__Spirochaetaceae,g__Treponema,s__Treponema pedis,t__,0.10956789257006294,0.03551890592644688,0.29135755994655277
G000013985,2.4715050011630613e-05,0.2916666666666667,209,k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Sphingomonadales,f__Sphingomonadaceae,g__Sphingopyxis,s__Sphingopyxis alaskensis,t__,0.10956789257006294,0.03551890592644688,0.29135755994655277
G000426745,2.4715050011630613e-05,0.375,3042,k__Bacteria,p__Firmicutes,c__Negativicutes,o__Veillonellales,f__Veillonellaceae,g__Veillonella,s__Veillonella montpellierensis,t__,0.10956789257006294,0.03551890592644688,0.29135755994655277
G000380105,2.4715050011630613e-05,0.4166666666666667,2536,k__Bacteria,p__Firmicutes,c__Bacilli,o__Lactobacillales,f__Streptococcaceae,g__Streptococcus,s__Streptococcus orisratti,t__,0.10956789257006294,0.03551890592644688,0.29135755994655277
G000428745,2.5441963247266807e-05,0.3333333333333333,3081,k__Bacteria,p__Firmicutes,c__Negativicutes,o__Veillonellales,f__Veillonellaceae,g__Veillonella,s__Veillonella magna,t__,0.1126305786504681,0.037056305753518926,0.2951003766773207
G900091655,2.6168876482903e-05,0.375,10070,k__Bacteria,p__Bacteroidetes,c__Bacteroidia,o__Bacteroidales,f__Odoribacteraceae,g__Culturomica,s__Culturomica massiliensis,t__,0.1156843330591002,0.03860706376135292,0.2988144366001258
G000221145,2.6168876482903e-05,0.5,1326,k__Bacteria,p__Actinobacteria,c__Actinobacteria,o__Propionibacteriales,f__Propionibacteriaceae,g__Cutibacterium,s__[Propionibacterium] namnetense,t__,0.1156843330591002,0.03860706376135292,0.2988144366001258
G000379985,2.762270295417539e-05,0.4583333333333333,2530,k__Bacteria,p__Firmicutes,c__Bacilli,o__Lactobacillales,f__Streptococcaceae,g__Streptococcus,s__Streptococcus caballi,t__,0.12176511620239228,0.0417463389041095,0.30615872098482727
G000469545,2.762270295417539e-05,0.3333333333333333,3454,k__Bacteria,p__Firmicutes,c__Negativicutes,o__Selenomonadales,f__Selenomonadaceae,g__Mitsuokella,s__Mitsuokella sp. oral taxon 131,t__,0.12176511620239228,0.0417463389041095,0.30615872098482727
G001458475,2.8349616189811584e-05,0.3333333333333333,6812,k__Bacteria,p__Proteobacteria,c__Betaproteobacteria,o__Neisseriales,f__Neisseriaceae,g__Kingella,s__Kingella kingae,t__,0.12479217965718292,0.043333769794970695,0.30979009154994275
G000768955,2.8349616189811584e-05,0.5,4778,k__Bacteria,p__Bacteroidetes,c__Bacteroidia,o__Bacteroidales,f__Porphyromonadaceae,g__Porphyromonas,s__Porphyromonas crevioricanis,t__,0.12479217965718292,0.043333769794970695,0.30979009154994275
G000187895,2.9076529425447778e-05,0.4583333333333333,1072,k__Bacteria,p__Bacteroidetes,c__Bacteroidia,o__Bacteroidales,f__Bacteroidaceae,g__Bacteroides,s__Bacteroides plebeius,t__,0.127810380878423,0.04493238248200304,0.3133950014064863
G000705255,2.9076529425447778e-05,0.625,4254,k__Bacteria,p__Proteobacteria,c__Epsilonproteobacteria,o__Campylobacterales,f__Campylobacteraceae,g__Campylobacter,s__Campylobacter mucosalis,t__,0.127810380878423,0.04493238248200304,0.3133950014064863
G000308635,2.9803442661083972e-05,0.625,1939,k__Bacteria,p__Actinobacteria,c__Actinobacteria,o__Corynebacteriales,f__Nocardiaceae,g__Nocardia,s__Nocardia otitidiscaviarum,t__,0.13081973727993212,0.046541696839975916,0.3169739607019425
G000315505,2.9803442661083972e-05,0.3333333333333333,2028,k__Bacteria,p__Firmicutes,c__Negativicutes,o__Veillonellales,f__Veillonellaceae,g__Veillonella,s__Veillonella seminalis,t__,0.13081973727993212,0.046541696839975916,0.3169739607019425
G000296505,3.053035589672017e-05,0.375,1818,k__Bacteria,p__Actinobacteria,c__Actinobacteria,o__Actinomycetales,f__Actinomycetaceae,g__Actinomyces,s__Actinomyces turicensis,t__,0.1338202662771043,0.04816125498883128,0.3205274573413374
G000434975,3.053035589672017e-05,0.3333333333333333,3261,k__Bacteria,p__Bacteroidetes,c__Bacteroidia,o__Bacteroidales,f__Prevotellaceae,g__Prevotella,s__Prevotella sp. CAG:520,t__,0.1338202662771043,0.04816125498883128,0.3205274573413374
G000311925,3.053035589672017e-05,0.4583333333333333,1974,k__Bacteria,p__Bacteroidetes,c__Bacteroidia,o__Bacteroidales,f__Rikenellaceae,g__Alistipes,s__Alistipes obesi,t__,0.1338202662771043,0.04816125498883128,0.3205274573413374
G000614355,3.1257269132356364e-05,0.3333333333333333,3948,k__Bacteria,p__Bacteroidetes,c__Bacteroidia,o__Bacteroidales,f__Porphyromonadaceae,g__Porphyromonas,s__Porphyromonas cangingivalis,t__,0.13681198531545002,0.049790619885066445,0.3240559584450641
G000020205,3.198418236799256e-05,0.4166666666666667,374,k__Bacteria,p__Proteobacteria,c__Betaproteobacteria,o__Burkholderiales,f__Burkholderiaceae,g__Ralstonia,s__Ralstonia pickettii,t__,0.1397949118509082,0.05142937400365197,0.32755991163302123
G000176335,3.198418236799256e-05,0.5,976,k__Bacteria,p__Fusobacteria,c__Fusobacteriia,o__Fusobacteriales,f__Leptotrichiaceae,g__Leptotrichia,s__Leptotrichia goodfellowii,t__,0.1397949118509082,0.05142937400365197,0.32755991163302123
G000311825,3.198418236799256e-05,0.5,1970,k__Bacteria,p__Firmicutes,c__Tissierellia,o__Tissierellales,f__Peptoniphilaceae,g__Peptoniphilus,s__Peptoniphilus grossensis,t__,0.1397949118509082,0.05142937400365197,0.32755991163302123
G001437585,3.271109560362875e-05,0.3333333333333333,6678,k__Bacteria,p__Actinobacteria,c__Coriobacteriia,o__Coriobacteriales,f__Atopobiaceae,g__Olsenella,s__Olsenella uli,t__,0.14276906335780937,0.05307711813962948,0.3310397462367449
G000769075,3.3438008839264946e-05,0.4583333333333333,4779,k__Bacteria,p__Bacteroidetes,c__Bacteroidia,o__Bacteroidales,f__Porphyromonadaceae,g__Porphyromonas,s__Porphyromonas sp. COT-290 OH3588,t__,0.14573445733093982,0.05473347030134543,0.3344958744097326
G000473125,3.416492207490114e-05,0.375,3482,k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhizobiales,f__Bradyrhizobiaceae,g__Bradyrhizobium,s__Bradyrhizobium genosp. SA-4,t__,0.1486911112782482,0.05639806468416911,0.33792869214115195
G000194985,3.4891835310537335e-05,0.375,1136,k__Bacteria,p__Firmicutes,c__Negativicutes,o__Veillonellales,f__Veillonellaceae,g__Dialister,s__Dialister micraerophilus,t__,0.15163904271518158,0.05807055072266154,0.341338580193906
G001705225,3.4891835310537335e-05,0.75,7763,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Pseudomonadales,f__Pseudomonadaceae,g__Pseudomonas,s__Pseudomonas xanthomarina,t__,0.15163904271518158,0.05807055072266154,0.341338580193906
G001693775,3.4891835310537335e-05,0.5,7734,k__Bacteria,p__Firmicutes,c__Clostridia,o__Clostridiales,f__Peptostreptococcaceae,g__Criibacterium,s__Criibacterium bergeronii,t__,0.15163904271518158,0.05807055072266154,0.341338580193906
G000157935,3.4891835310537335e-05,0.5833333333333334,785,k__Bacteria,p__Bacteroidetes,c__Bacteroidia,o__Bacteroidales,f__Prevotellaceae,g__Prevotella,s__Prevotella copri,t__,0.15163904271518158,0.05807055072266154,0.341338580193906
G000190535,3.634566178180972e-05,0.4583333333333333,1095,k__Bacteria,p__Bacteroidetes,c__Bacteroidia,o__Bacteroidales,f__Odoribacteraceae,g__Odoribacter,s__Odoribacter splanchnicus,t__,0.15750880822626667,0.06143786656017225,0.3480910194434622
G000827595,3.634566178180972e-05,0.4583333333333333,4973,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Pasteurellales,f__Pasteurellaceae,g__Necropsobacter,s__Necropsobacter massiliensis,t__,0.15750880822626667,0.06143786656017225,0.3480910194434622
G000246925,3.707257501744592e-05,0.5416666666666666,1557,k__Bacteria,p__Firmicutes,c__Tissierellia,o__Tissierellales,f__Peptoniphilaceae,g__Peptoniphilus,s__Peptoniphilus rhinitidis,t__,0.16043067741730044,0.06313206390124787,0.35143426364138297
G000011365,3.8526401488718306e-05,0.375,129,k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhizobiales,f__Bradyrhizobiaceae,g__Bradyrhizobium,s__Bradyrhizobium diazoefficiens,t__,0.16624847655299346,0.06654004819527204,0.35805644193013625
G000312505,3.92533147243545e-05,0.4583333333333333,1995,k__Bacteria,p__Firmicutes,c__Clostridia,o__Clostridiales,f__,g__Fenollaria,s__Fenollaria massiliensis,t__,0.1691444416957557,0.06825327349492902,0.361335998357465
G000158195,4.143405443126309e-05,0.4166666666666667,793,k__Bacteria,p__Fusobacteria,c__Fusobacteriia,o__Fusobacteriales,f__Fusobacteriaceae,g__Fusobacterium,s__Fusobacterium mortiferum,t__,0.1777808108472949,0.07342672846605286,0.37105205481401665
G000270145,4.216096766689928e-05,0.625,1684,k__Bacteria,p__Firmicutes,c__Bacilli,o__Lactobacillales,f__Streptococcaceae,g__Streptococcus,s__Streptococcus gallolyticus,t__Streptococcus gallolyticus subsp. gallolyticus,0.18064248393750348,0.0751616524647851,0.3742507914116866
G000026745,4.361479413817167e-05,0.5416666666666666,555,k__Bacteria,p__Firmicutes,c__Bacilli,o__Lactobacillales,f__Streptococcaceae,g__Streptococcus,s__Streptococcus suis,t__,0.1863402611316105,0.07864577257585753,0.38058991034417505
G001646665,4.4341707373807866e-05,0.4166666666666667,7591,k__Bacteria,p__Actinobacteria,c__Actinobacteria,o__Streptomycetales,f__Streptomycetaceae,g__Streptomyces,s__Streptomyces albulus,t__,0.1891764005840041,0.08039453451520828,0.383730787794471
G000179055,4.5795533845080254e-05,0.5833333333333334,1002,k__Bacteria,p__Bacteroidetes,c__Bacteroidia,o__Bacteroidales,f__Prevotellaceae,g__Prevotella,s__Prevotella bryantii,t__,0.1948232696610197,0.08390443165093461,0.3899563616856897
G000321025,4.5795533845080254e-05,0.5,2087,k__Bacteria,p__Firmicutes,c__Tissierellia,o__Tissierellales,f__Peptoniphilaceae,g__Peptoniphilus,s__Peptoniphilus senegalensis,t__,0.1948232696610197,0.08390443165093461,0.3899563616856897
G001275135,4.652244708071645e-05,0.5416666666666666,6106,k__Bacteria,p__Bacteroidetes,c__Bacteroidia,o__Bacteroidales,f__Prevotellaceae,g__Prevotella,s__Prevotella sp. 109,t__,0.19763403469599028,0.08566517520271216,0.3930415108203365
G000188035,4.724936031635264e-05,0.625,1076,k__Bacteria,p__Firmicutes,c__Bacilli,o__Lactobacillales,f__Streptococcaceae,g__Streptococcus,s__Streptococcus pseudoporcinus,t__,0.20043637701379702,0.08742953168284742,0.39610852586139256
G000508745,4.870318678762503e-05,0.5833333333333334,3661,k__Bacteria,p__Firmicutes,c__Bacilli,o__Bacillales,f__Staphylococcaceae,g__Staphylococcus,s__Staphylococcus sp. DORA_6_22,t__,0.20601586441060904,0.0909683684198431,0.4021889909279329
G000007265,4.870318678762503e-05,0.5,19,k__Bacteria,p__Firmicutes,c__Bacilli,o__Lactobacillales,f__Streptococcaceae,g__Streptococcus,s__Streptococcus agalactiae,t__,0.20601586441060904,0.0909683684198431,0.4021889909279329
G900111525,5.161083973016981e-05,0.5416666666666666,10318,k__Bacteria,p__Bacteroidetes,c__Bacteroidia,o__Bacteroidales,f__Prevotellaceae,g__Prevotella,s__Prevotella sp. kh1p2,t__,0.21707454703050766,0.09808184114984,0.4141412133245358
G000156575,5.379157943707839e-05,0.5,778,k__Bacteria,p__Firmicutes,c__Tissierellia,o__Tissierellales,f__Peptoniphilaceae,g__Anaerococcus,s__Anaerococcus lactolyticus,t__,0.2252813627235456,0.10344338321976118,0.4229286120771055
G000169335,5.4518492672714584e-05,0.75,905,k__Bacteria,p__Cyanobacteria,c__,o__Oscillatoriales,f__Cyanothecaceae,g__Cyanothece,s__Cyanothece sp. CCY0110,t__,0.22800045392969492,0.10523483339393108,0.42582500454565514
G000381725,5.524540590835078e-05,0.625,2565,k__Bacteria,p__Fusobacteria,c__Fusobacteriia,o__Fusobacteriales,f__Fusobacteriaceae,g__Fusobacterium,s__Fusobacterium russii,t__,0.23071131776672937,0.10702819458099985,0.4287053016254059
G001536045,5.8153058850895555e-05,0.5416666666666666,7083,k__Bacteria,p__Candidatus Kryptonia,c__,o__,f__,g__Candidatus Kryptonium,s__Candidatus Kryptonium thompsoni,t__,0.24147285523512885,0.11421823478695745,0.4400686641635325
G000478985,5.9606885322167944e-05,0.625,3515,k__Bacteria,p__Firmicutes,c__Tissierellia,o__Tissierellales,f__Peptoniphilaceae,g__Peptoniphilus,s__Peptoniphilus sp. BV3C26,t__,0.24680472244042317,0.11782154923472374,0.4456577425247199
G000017465,5.9606885322167944e-05,0.5,312,k__Bacteria,p__Proteobacteria,c__Epsilonproteobacteria,o__Campylobacterales,f__Campylobacteraceae,g__Campylobacter,s__Campylobacter curvus,t__,0.24680472244042317,0.11782154923472374,0.4456577425247199
G000160075,6.0333798557804145e-05,0.5416666666666666,824,k__Bacteria,p__Firmicutes,c__Bacilli,o__Lactobacillales,f__Aerococcaceae,g__Abiotrophia,s__Abiotrophia defectiva,t__,0.2494584929793925,0.11962488705817226,0.44842963140511943
G000192225,6.0333798557804145e-05,0.5833333333333334,1111,k__Bacteria,p__Bacteroidetes,c__Flavobacteriia,o__Flavobacteriales,f__Flavobacteriaceae,g__Capnocytophaga,s__Capnocytophaga sp. oral taxon 338,t__,0.2494584929793925,0.11962488705817226,0.44842963140511943
G000372405,6.178762502907653e-05,0.625,2367,k__Bacteria,p__Bacteroidetes,c__Bacteroidia,o__Bacteroidales,f__Porphyromonadaceae,g__Porphyromonas,s__Porphyromonas somerae,t__,0.25474179697793686,0.12323439646367387,0.4539287895289801
G000738775,6.178762502907653e-05,0.4583333333333333,4476,k__Bacteria,p__Actinobacteria,c__Actinobacteria,o__Corynebacteriales,f__Nocardiaceae,g__Rhodococcus,s__Rhodococcus defluvii,t__,0.25474179697793686,0.12323439646367387,0.4539287895289801
G000380065,6.469527797162131e-05,0.625,2534,k__Bacteria,p__Firmicutes,c__Bacilli,o__Lactobacillales,f__Streptococcaceae,g__Streptococcus,s__Streptococcus massiliensis,t__,0.26521195540459575,0.13046197001558443,0.46475226738627484
G000177375,7.196441032798325e-05,0.5416666666666666,987,k__Bacteria,p__Firmicutes,c__Erysipelotrichia,o__Erysipelotrichales,f__Erysipelotrichaceae,g__Bulleidia,s__Bulleidia extructa,t__,0.29083137898167755,0.1485475798959657,0.4908357629978044
G001876005,7.705280297743661e-05,0.7083333333333334,9547,k__Bacteria,p__Actinobacteria,c__Actinobacteria,o__Corynebacteriales,f__Corynebacteriaceae,g__Corynebacterium,s__Corynebacterium diphtheriae,t__,0.30829981436705467,0.1611895866765992,0.5083101701557562
G000164695,7.705280297743661e-05,0.5833333333333334,867,k__Bacteria,p__Actinobacteria,c__Actinobacteria,o__Micrococcales,f__Micrococcaceae,g__Rothia,s__Rothia dentocariosa,t__,0.30829981436705467,0.1611895866765992,0.5083101701557562
G000221605,8.359502209816237e-05,0.5416666666666666,1330,k__Bacteria,p__Firmicutes,c__Negativicutes,o__Veillonellales,f__Veillonellaceae,g__Veillonella,s__Veillonella sp. oral taxon 780,t__,0.33020744169642124,0.17738181897066563,0.5298877299757432
G000614065,8.504884856943476e-05,0.75,3944,k__Bacteria,p__Bacteroidetes,c__Bacteroidia,o__Bacteroidales,f__Prevotellaceae,g__Prevotella,s__Prevotella dentasini,t__,0.3349926732432643,0.18096706710148347,0.5345524487639626
G000171775,8.795650151197954e-05,0.875,923,k__Bacteria,p__Planctomycetes,c__Planctomycetia,o__Planctomycetales,f__Gemmataceae,g__Gemmata,s__Gemmata obscuriglobus,t__,0.3444735113778372,0.18812048091941802,0.5437444510892815
G001705425,9.159106769016051e-05,0.5833333333333334,7765,k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhizobiales,f__Phyllobacteriaceae,g__Mesorhizobium,s__Mesorhizobium sp. UASWS1009,t__,0.35615796969221636,0.1970266898369328,0.5549828043767229
G001457795,9.30448941614329e-05,0.625,6795,k__Bacteria,p__Actinobacteria,c__Coriobacteriia,o__Coriobacteriales,f__Atopobiaceae,g__Olsenella,s__Olsenella sp. SIT9,t__,0.36078037787764217,0.20057708902522955,0.5594016568835106
G000163695,9.595254710397767e-05,0.625,859,k__Bacteria,p__Bacteroidetes,c__,o__,f__,g__,s__Bacteroidetes oral taxon 274,t__,0.36993789691749723,0.20765555813492484,0.5681111864108092
G000312445,0.00010758315887415678,0.6666666666666666,1994,k__Bacteria,p__Bacteroidetes,c__Bacteroidia,o__Bacteroidales,f__,g__Phocaeicola,s__Phocaeicola abscessus,t__,0.4054245673114326,0.23563444784875415,0.6013130052898366
G000160535,0.00013665968829960456,0.7083333333333334,830,k__Bacteria,p__Bacteroidetes,c__Bacteroidia,o__Bacteroidales,f__Prevotellaceae,g__Prevotella,s__Prevotella bergensis,t__,0.48652498971385993,0.3027166283971072,0.6740518125850885
G000145515,0.00014683647359851128,0.875,653,k__Bacteria,p__Actinobacteria,c__Actinobacteria,o__Propionibacteriales,f__Propionibacteriaceae,g__Cutibacterium,s__Cutibacterium acnes,t__,0.5124895184865075,0.325090474424678,0.6964420498303644
G000235445,0.00015047103977669225,0.75,1432,k__Bacteria,p__Firmicutes,c__Clostridia,o__Clostridiales,f__Lachnospiraceae,g__Johnsonella,s__Johnsonella ignava,t__,0.5214739208104244,0.3329330012549086,0.7040890601801135
G000688375,0.00015337869271923703,0.75,4142,k__Bacteria,p__Bacteroidetes,c__Bacteroidia,o__Bacteroidales,f__Prevotellaceae,g__Prevotella,s__Prevotella sp. HUN102,t__,0.5285543100686756,0.33915001133236544,0.7100789781442088
G000170715,0.00015410560595487322,0.7916666666666666,913,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Thiotrichales,f__Thiotrichaceae,g__Beggiatoa,s__Beggiatoa sp. PS,t__,0.5303096624642343,0.3406963017448436,0.7115589988000355
G000145555,0.0001562863456617818,0.875,654,k__Bacteria,p__Actinobacteria,c__Actinobacteria,o__Propionibacteriales,f__Propionibacteriaceae,g__Cutibacterium,s__Cutibacterium acnes,t__,0.535540589060721,0.34531598837894645,0.7159576785614727
G000144735,0.00016064782507559897,0.875,644,k__Bacteria,p__Actinobacteria,c__Actinobacteria,o__Propionibacteriales,f__Propionibacteriaceae,g__Cutibacterium,s__Cutibacterium acnes,t__,0.5458457939418433,0.3544686554942049,0.7245716750926683
G000008345,0.0001824552221446848,0.9583333333333334,51,k__Bacteria,p__Actinobacteria,c__Actinobacteria,o__Propionibacteriales,f__Propionibacteriaceae,g__Cutibacterium,s__Cutibacterium acnes,t__,0.5943493839274492,0.3984782454158259,0.7641845826236086
G001402935,0.00023770062805303558,0.9583333333333334,6375,k__Archaea,p__Euryarchaeota,c__Thermoplasmata,o__Thermoplasmatales,f__Ferroplasmaceae,g__Acidiplasma,s__Acidiplasma cupricumulans,t__,0.6969340531664869,0.4968999116379186,0.84262376824071
G000344275,0.002100779250988602,1.0,2270,k__Bacteria,p__Firmicutes,c__Bacilli,o__Lactobacillales,f__Streptococcaceae,g__Streptococcus,s__Streptococcus oralis,t__Streptococcus oralis subsp. tigurinus,0.9999986837315832,0.8620215260264514,0.999999999989176
G000420305,2.762270295417539e-05,0.041666666666666664,2822,k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Sphingomonadales,f__Sphingomonadaceae,g__Sphingopyxis,s__Sphingopyxis baekryungensis,t__,0.12176511620239228,0.0417463389041095,0.30615872098482727
G000148485,3.198418236799256e-05,0.041666666666666664,677,k__Bacteria,p__Actinobacteria,c__Actinobacteria,o__Actinomycetales,f__Actinomycetaceae,g__Mobiluncus,s__Mobiluncus mulieris,t__,0.1397949118509082,0.05142937400365197,0.32755991163302123
G001421785,3.198418236799256e-05,0.041666666666666664,6463,k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Sphingomonadales,f__Sphingomonadaceae,g__Sphingomonas,s__Sphingomonas sp. Leaf33,t__,0.1397949118509082,0.05142937400365197,0.32755991163302123
G000620705,4.216096766689928e-05,0.041666666666666664,3990,k__Bacteria,p__Actinobacteria,c__Actinobacteria,o__Propionibacteriales,f__Nocardioidaceae,g__Nocardioides,s__Nocardioides sp. URHA0020,t__,0.18064248393750348,0.0751616524647851,0.3742507914116866
G001428025,4.216096766689928e-05,0.041666666666666664,6543,k__Bacteria,p__Actinobacteria,c__Actinobacteria,o__Micrococcales,f__Intrasporangiaceae,g__Phycicoccus,s__Phycicoccus sp. Soil748,t__,0.18064248393750348,0.0751616524647851,0.3742507914116866
G000296835,4.5795533845080254e-05,0.08333333333333333,1824,k__Bacteria,p__Firmicutes,c__Bacilli,o__Lactobacillales,f__Lactobacillaceae,g__Lactobacillus,s__Lactobacillus hominis,t__,0.1948232696610197,0.08390443165093461,0.3899563616856897
G000415085,4.870318678762503e-05,0.08333333333333333,2789,k__Bacteria,p__Firmicutes,c__Bacilli,o__Lactobacillales,f__Enterococcaceae,g__Enterococcus,s__Enterococcus faecalis,t__,0.20601586441060904,0.0909683684198431,0.4021889909279329
G000013365,5.161083973016981e-05,0.08333333333333333,194,k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhizobiales,f__Bradyrhizobiaceae,g__Rhodopseudomonas,s__Rhodopseudomonas palustris,t__,0.21707454703050766,0.09808184114984,0.4141412133245358
G001457475,5.887997208653175e-05,0.08333333333333333,6794,k__Bacteria,p__Proteobacteria,c__Betaproteobacteria,o__Burkholderiales,f__Alcaligenaceae,g__Achromobacter,s__Achromobacter xylosoxidans,t__,0.24414284912946083,0.11601929567903574,0.44287079981202765
G000069965,6.251453826471273e-05,0.125,583,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Enterobacterales,f__Morganellaceae,g__Proteus,s__Proteus mirabilis,t__,0.25737136606196176,0.12504036549726513,0.4566563227391497
G001536085,6.396836473598512e-05,0.041666666666666664,7085,k__Bacteria,p__Candidatus Kryptonia,c__,o__,f__,g__Candidatus Kryptonium,s__Candidatus Kryptonium thompsoni,t__,0.262606427461199,0.12865424576837994,0.46206793746029495
G000007785,6.469527797162131e-05,0.125,36,k__Bacteria,p__Firmicutes,c__Bacilli,o__Lactobacillales,f__Enterococcaceae,g__Enterococcus,s__Enterococcus faecalis,t__,0.26521195540459575,0.13046197001558443,0.46475226738627484
G000648175,6.54221912072575e-05,0.125,4075,k__Bacteria,p__Firmicutes,c__Bacilli,o__Lactobacillales,f__Enterococcaceae,g__Enterococcus,s__Enterococcus faecalis,t__,0.26780950526218184,0.13227009636416823,0.4674224406112558
G001426225,6.61491044428937e-05,0.041666666666666664,6518,k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhizobiales,f__Bradyrhizobiaceae,g__Bosea,s__Bosea sp. Leaf344,t__,0.27039909484830016,0.13407853723160656,0.4700785754305371
G001423845,6.61491044428937e-05,0.125,6481,k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Sphingomonadales,f__Sphingomonadaceae,g__Sphingomonas,s__Sphingomonas sp. Leaf357,t__,0.27039909484830016,0.13407853723160656,0.4700785754305371
G001426195,6.978367062107467e-05,0.125,6517,k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Sphingomonadales,f__Sphingomonadaceae,g__Sphingomonas,s__Sphingomonas sp. Leaf339,t__,0.2832282621054424,0.14312254587744008,0.48315266168442605
G001421505,8.141428239125379e-05,0.08333333333333333,6458,k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Sphingomonadales,f__Sphingomonadaceae,g__Sphingomonas,s__Sphingomonas sp. Leaf17,t__,0.3229731806278715,0.1719943104632803,0.5228030281177619
G000967305,9.159106769016051e-05,0.08333333333333333,5174,k__Bacteria,p__Proteobacteria,c__Betaproteobacteria,o__Burkholderiales,f__Alcaligenaceae,g__Alcaligenes,s__Alcaligenes faecalis,t__,0.35615796969221636,0.1970266898369328,0.5549828043767229
G000427645,9.813328681088626e-05,0.125,3058,k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Sphingomonadales,f__Sphingomonadaceae,g__Sphingomonas,s__Sphingomonas phyllosphaerae,t__,0.3767302041896238,0.21294380180287384,0.5745332037303248
G900108575,9.813328681088626e-05,0.041666666666666664,10255,k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhizobiales,f__Bradyrhizobiaceae,g__Tardiphaga,s__Tardiphaga sp. OK245,t__,0.3767302041896238,0.21294380180287384,0.5745332037303248
G000824825,0.00011267155152361014,0.16666666666666666,4959,k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhizobiales,f__Phyllobacteriaceae,g__Mesorhizobium,s__Mesorhizobium sp. ORS3324,t__,0.4203873365582733,0.24768694328064603,0.6150570361274126
G000959725,0.00011485229123051872,0.125,5128,k__Bacteria,p__Proteobacteria,c__Betaproteobacteria,o__Burkholderiales,f__Burkholderiaceae,g__Burkholderia,s__Burkholderia gladioli,t__,0.42669736245364376,0.25281420762626833,0.620808556723643
G001558935,0.00011485229123051872,0.25,7149,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Enterobacterales,f__Enterobacteriaceae,g__Citrobacter,s__Citrobacter amalonaticus,t__,0.42669736245364376,0.25281420762626833,0.620808556723643
G000023845,0.00011630611770179111,0.20833333333333334,466,k__Bacteria,p__Actinobacteria,c__Coriobacteriia,o__Eggerthellales,f__Eggerthellaceae,g__Cryptobacterium,s__Cryptobacterium curtum,t__,0.43087019418905814,0.2562192903793593,0.6245976344701812
G001571285,0.0001170330309374273,0.25,7247,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Enterobacterales,f__Enterobacteriaceae,g__Kluyvera,s__Kluyvera cryocrescens,t__,0.43294650588641403,0.2579178483420629,0.6264787366867428
G001261775,0.00011921377064433589,0.041666666666666664,6054,k__Bacteria,p__Firmicutes,c__Clostridia,o__Clostridiales,f__Ruminococcaceae,g__Anaeromassilibacillus,s__Anaeromassilibacillus senegalensis,t__,0.43913522977013364,0.2629973777522036,0.632068861777527
G000445105,0.00012066759711560829,0.20833333333333334,3375,k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Sphingomonadales,f__Sphingomonadaceae,g__Sphingobium,s__Sphingobium lactosutens,t__,0.4432277072482903,0.2663701088681273,0.6357517565976089
G000980895,0.00012430216329378926,0.16666666666666666,5300,k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Sphingomonadales,f__Sphingomonadaceae,g__Sphingomonas,s__Sphingomonas sp. Ag1,t__,0.45334321041199677,0.27475333760049214,0.644808136722845
G001431645,0.00013593277506396837,0.2916666666666667,6587,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Xanthomonadales,f__Xanthomonadaceae,g__Stenotrophomonas,s__Stenotrophomonas panacihumi,t__,0.4846239839128099,0.30109548417297227,0.6723955323381114
G001421995,0.00013956734124214934,0.041666666666666664,6465,k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Sphingomonadales,f__Sphingomonadaceae,g__Sphingomonas,s__Sphingomonas sp. Leaf231,t__,0.4940666005008534,0.3091707996975674,0.6805997371915646
